NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LOG OF SALE PRICE
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2,397,33,C7,14AVENUEB,10009.0,25.0,2.0,27.0,3574.0,18212.0,1925.0,2,C7,13185684.0,2013-01-31,16.39464225355706
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2,398,53,C7,170EAST2NDSTREET,10009.0,36.0,3.0,39.0,4452.0,17664.0,1900.0,2,C7,3810602.0,2012-10-26,15.153297739870712
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2B,400,56,C4,203EAST4THSTREET,10009.0,10.0,1.0,10.0,2404.0,6975.0,1900.0,2,C4,7333333.0,2013-09-04,15.807940677199934
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2B,400,57,C4,201EAST4THSTREET,10009.0,9.0,1.0,9.0,2404.0,6875.0,1900.0,2,C4,7333333.0,2013-09-04,15.807940677199934
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2B,400,58,C4,199EAST4THSTREET,10009.0,9.0,1.0,10.0,2404.0,7110.0,1900.0,2,C4,7333333.0,2013-09-04,15.807940677199934
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2,400,60,C4,195EASTFOURTHSTREET,10009.0,18.0,2.0,18.0,2404.0,8975.0,1913.0,2,C4,7000000.0,2013-09-04,15.761420707019587
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2,404,4,C7,500EAST11STREET,10009.0,25.0,2.0,27.0,3020.0,15162.0,1920.0,2,C7,12603963.0,2013-01-31,16.349521846278986
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2,405,10,C7,504EAST12THSTREET,10009.0,28.0,2.0,30.0,3872.0,15428.0,1930.0,2,C7,8892981.0,2013-01-31,16.000772871867632
ALPHABETCITY,07RENTALS-WALKUPAPARTMENTS,2,405,12,C7,508EAST12THSTREET,10009.0,28.0,2.0,30.0,3872.0,15428.0,1930.0,2,C7,9528194.0,2013-01-31,16.069765750851133
ALPHABETCITY,08RENTALS-ELEVATORAPARTMENTS,2,404,48,D1,315EAST10THSTREET,10009.0,12.0,1.0,12.0,2369.0,9348.0,1920.0,2,D1,9600000.0,2013-07-05,16.077273656438063
ALPHABETCITY,14RENTALS-4-10UNIT,2A,387,133,S3,650EAST6THSTREET,10009.0,3.0,1.0,4.0,1940.0,4140.0,1920.0,2,S3,2800000.0,2013-07-19,14.845129975145433
ALPHABETCITY,14RENTALS-4-10UNIT,2A,391,33,S4,137AVENUEC,10009.0,4.0,1.0,5.0,1500.0,3540.0,1900.0,2,S4,2450000.0,2013-02-22,14.71159858252091
ALPHABETCITY,14RENTALS-4-10UNIT,2A,393,4,S4,165AVENUEB,10009.0,4.0,1.0,5.0,2201.0,5608.0,1900.0,2,S4,3800000.0,2012-04-12,15.150511624696614
ALPHABETCITY,37RELIGIOUSFACILITIES,4,392,4,M1,149AVENUEB,10009.0,2.0,1.0,3.0,2139.0,6440.0,1900.0,4,M1,4650000.0,2012-12-20,15.35237777756354
ALPHABETCITY,37RELIGIOUSFACILITIES,4,392,4,M1,149AVENUEB,10009.0,2.0,1.0,3.0,2139.0,6440.0,1900.0,4,M1,3200000.0,2012-09-27,14.978661367769956
CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,719,45,C5,402WEST22NDSTREET,10011.0,7.0,1.0,8.0,1026.0,4788.0,1900.0,2,C5,3530000.0,2012-11-15,15.07680842890948
CHELSEA,07RENTALS-WALKUPAPARTMENTS,2,744,40,C4,2058AVENUE,10011.0,10.0,1.0,11.0,2500.0,10800.0,1900.0,2,C4,15900000.0,2013-01-05,16.58182966719046
CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,764,21,C5,233WEST14THSTREET,10011.0,6.0,2.0,8.0,3000.0,8455.0,1920.0,2,C5,6800000.0,2012-10-17,15.732433170146335
CHELSEA,08RENTALS-ELEVATORAPARTMENTS,2,800,20,D6,135WEST24THSTREET,10011.0,23.0,1.0,24.0,2925.0,12609.0,1901.0,2,D6,1911390.0,2012-05-10,14.46334128403324
CHELSEA,08RENTALS-ELEVATORAPARTMENTS,2,801,49,D5,110WEST26THSTREET,10001.0,11.0,2.0,13.0,4090.0,26027.0,1907.0,2,D5,2176160.0,2012-12-21,14.59307241366658
CHELSEA,14RENTALS-4-10UNIT,2B,794,12,S5,153WEST18THSTREET,10011.0,6.0,1.0,7.0,1553.0,3800.0,1877.0,2,S5,10405882.0,2012-11-28,16.15788178115633
CHELSEA,14RENTALS-4-10UNIT,2A,803,33,S9,103WEST27THSTREET,10001.0,3.0,2.0,5.0,1668.0,4796.0,1920.0,2,S9,3500000.0,2013-03-27,15.068273526459642
CHELSEA,22STOREBUILDINGS,4,738,79,K9,589AVENUE,10011.0,2.0,1.0,3.0,1692.0,3842.0,1920.0,4,K9,18200000.0,2013-08-04,16.716932152047026
CHELSEA,22STOREBUILDINGS,4,799,41,K4,727AVENUEOFTHEAMER,10010.0,2.0,2.0,4.0,1636.0,5976.0,1894.0,4,K4,8150000.0,2013-12-07,15.913528485217045
CHELSEA,23LOFTBUILDINGS,4,793,29,L8,111WEST17THSTREET,10011.0,1.0,4.0,5.0,1840.0,8900.0,1920.0,4,L8,7250000.0,2012-10-16,15.796512026830857
CHELSEA,23LOFTBUILDINGS,4,797,29,L9,117WEST21STSTREET,10011.0,1.0,1.0,2.0,4337.0,18591.0,1900.0,4,L9,12000000.0,2013-05-15,16.300417207752275
CHELSEA,23LOFTBUILDINGS,4,798,59,L8,128WEST23RDSTREET,10011.0,3.0,1.0,4.0,2468.0,7080.0,1920.0,4,L8,4500000.0,2013-06-14,15.319587954740548
CHELSEA,30WAREHOUSES,4,794,11,E9,155WEST18THSTREET,10011.0,6.0,6.0,12.0,10053.0,32380.0,1930.0,4,E9,16622383.0,2012-11-28,16.62626071858155
CHINATOWN,02TWOFAMILYHOMES,1,281,38,S2,53-55DIVISIONSTREET,10002.0,2.0,1.0,3.0,1708.0,3619.0,1920.0,1,S2,2800000.0,2013-06-27,14.845129975145433
CHINATOWN,07RENTALS-WALKUPAPARTMENTS,2,237,11,C7,146MULBERRYSTREET,10013.0,15.0,1.0,16.0,3572.0,19858.0,1900.0,2,C7,6900000.0,2013-07-08,15.747031969567487
CHINATOWN,07RENTALS-WALKUPAPARTMENTS,2,275,1,C7,125MADISONSTREET,10002.0,15.0,1.0,16.0,1779.0,6810.0,1900.0,2,C7,2265000.0,2012-12-18,14.63308531689927
CHINATOWN,07RENTALS-WALKUPAPARTMENTS,2,277,18,C7,109MADISONSTREET,10002.0,20.0,2.0,22.0,2514.0,9480.0,1900.0,2,C7,4500000.0,2012-03-08,15.319587954740548
CHINATOWN,07RENTALS-WALKUPAPARTMENTS,2,303,10,C7,83BOWERY,10002.0,12.0,3.0,15.0,2923.0,12665.0,1910.0,2,C7,9326496.0,2013-03-06,16.048369939581228
CHINATOWN,07RENTALS-WALKUPAPARTMENTS,2,306,1,C7,119HESTERSTREET,10002.0,25.0,4.0,29.0,3392.0,17025.0,1910.0,2,C7,7400000.0,2012-08-30,15.816990558174398
